text,intent
"Hello-Can you please help me get a refund from this merchant?  I ordered a product and would like to return it. I have been unsuccessful in getting the merchant to return my request for the past several days.  I understand it can take up to 45 days to process the dispute and issue a refund, however, if this can be expedited faster it would be very helpful to me.",request_refund
Is auto top up available?,automatic_top_up
Is there a fee for topping up by charge card?,top_up_by_card_charge
"It's been over a month and i still haven't received my goods! I ordered a pencil for crying out loud, it's not that hard to deliver that! I'm done with these people, give me a refund immediately! I'll search for my Japanese exclusive pencil elsewhere!",request_refund
Will I be charged for receiving the money?,top_up_by_bank_transfer_charge
"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",balance_not_updated_after_bank_transfer
Why hasn't my money transfer shown up yet?,balance_not_updated_after_bank_transfer
I tried to get gas but my money was gone!,topping_up_by_card
"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?",declined_cash_withdrawal
If I don't have all my documents can they still verify my identity?,verify_my_identity
Will my other US credit card be accepted?,supported_cards_and_currencies
What do you use to figure out the exchange rate for the card?,exchange_rate
Can you help me transfer money into my friend's bank account? I tried to do it but it keeps rejecting me. I need to get the money in there asap. I have enough and all the account info is correct.,failed_transfer
Do you have the best exchange rate?,exchange_rate
How long does a transfer take to reach one's account.,transfer_timing
I looked at my statement and found a payment I and found a mistake.,card_payment_not_recognised
I dont have a pin,get_physical_card
I did a transfer but the balance is the same.,balance_not_updated_after_bank_transfer
Why was I charged a fee when I withdrew money?,cash_withdrawal_charge
Where can I check to see where the money in my account came from?,verify_source_of_funds
I can't see a top-up top-up verification code.,verify_top_up
There is a debit paymet that I don't recognize.,direct_debit_payment_not_recognised
How often am I able to top-up?,top_up_limits
I'm trying to take money from my account but its not letting me. Help!,declined_cash_withdrawal
Mastercard is my preferred company.,visa_or_mastercard
"I have a strange transaction for £1 on my statement, what is that?",extra_charge_on_statement
I have a disposable card but it does not work?,virtual_card_not_working
I did a cash deposit to my account but it doesn't show up,balance_not_updated_after_cheque_or_cash_deposit
How do I unblock my card?,pin_blocked
I am planning activating my card was it possible?,activate_my_card
What do I need to do to receive my payroll in the account?,receiving_money
Is there a reason my transfer would have been declined?,declined_transfer
"phone is gone, what should i do",lost_or_stolen_phone
What credit cards do you carry,visa_or_mastercard
Shouldn't my new card be here by now?,card_arrival
Is this card available to United States Residents?,country_support
What does pending payment mean?,pending_card_payment
The app shows a withdrawal that I did not make or authorize.,cash_withdrawal_not_recognised
How long does it take to recieve my new card?,card_arrival
What do I do to link my new card?,card_linking
My payment has been returned.,reverted_card_payment?
My new card hasn't came in.,card_arrival
I was not distributed all of cash that I requested,wrong_amount_of_cash_received
Why is my identification required?,why_verify_identity
"I just transferred my friend money, but she hasn't received it yet, and it's been a few hours. Can you tell me when to expect it to go through?",transfer_not_received_by_recipient
How do I dispute a direct debit on my account?,direct_debit_payment_not_recognised
How is the exchange rate calculated?,exchange_rate
There are two of the same charge on my statement.,transaction_charged_twice
Please tell me the types of currency I can hold.,fiat_currency_support
Would I be able to top up as much as I can?,top_up_limits
Where do I go for a refund?,request_refund
Send me my card now! ASAP,card_delivery_estimate
"my phone was taken yesterday, what should I do about my account?",lost_or_stolen_phone
I attempted to get cash in the ATM but I was denied,declined_cash_withdrawal
"I want to add money to my card, what payments do you accept?",supported_cards_and_currencies
I would like to track the card you sent to me.,card_arrival
"Hello I am unable to exchange the crypto currency through the app, i am very keen to buy. Please let me know the issue.    interested buying crypto currency but i am unable to purchase it through the application,i do want to do the exchange, Could you please let me know what is the problem?",beneficiary_not_allowed
At what age can I open an account?,age_limit
What is the expected delivery date for my card?,card_arrival
My PIN tries have run out. Now what?,pin_blocked
Why couldn't I get cash from an ATM?,declined_cash_withdrawal
What would the age limit be?,age_limit
Where do i go to receive a virtual card,getting_virtual_card
My card hasn't came in the mail yet?,card_arrival
How much will it cost me for a SEPA transfer?,top_up_by_bank_transfer_charge
Why was my account assessed a fee for an ATM transaction?,cash_withdrawal_charge
What are ways to test why my card might not be working?,card_not_working
I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.,compromised_card
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.,direct_debit_payment_not_recognised
Why are there fees for using a card?,card_payment_fee_charged
"lost my phone, what is account security?",lost_or_stolen_phone
Can you explain the various transaction times shown on my statement?,transaction_charged_twice
Do you charge extra for topping up with a debit or credit card?,top_up_by_card_charge
When should I expect my card to arrive?,card_delivery_estimate
"I want to get some cash from the ATM using my card but I dont want to be charged any fees. Ive taken some money out before with no fees, but recently Ive been getting charged. Why?",cash_withdrawal_charge
What if I need to use GBP instead of USD?,exchange_via_app
My transfer failed,failed_transfer
My balance is not right. It has not been updated for the cash or cheque deposit.,balance_not_updated_after_cheque_or_cash_deposit
I got charged fees for withdrawing cash!,cash_withdrawal_charge
Why can I not make a transfer?,failed_transfer
I have not been able to use this card.,card_not_working
"I really wanted to buy something online but seems the card is not working as the payment suddenly came back! What's going on here, I've been trying for a good week or two.",reverted_card_payment?
Why did I get charged one pound seemingly randomly?,extra_charge_on_statement
"My card payment has been declined, why?",declined_card_payment
"I had a cheque deposited, but I don't see my money yet?",balance_not_updated_after_cheque_or_cash_deposit
I sent a transfer and it has been pending for awhile. How long will it stay pending?,pending_transfer
"Help me please, My Apple Pay American Express top up does not work.",apple_pay_or_google_pay
When can I expect my transfer to reach my account?,transfer_timing
"I lost my card and need a new one, will it cost me?",getting_spare_card
My card was stolen and used to make several purchases. Please freeze my card so no one can use it.,compromised_card
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,extra_charge_on_statement
"My card has an expiration date, will you send a new one automatically?",card_about_to_expire
I would like to exchange currencies on the app. How do I do this?,exchange_via_app
Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.,wrong_exchange_rate_for_cash_withdrawal
"Hello. How long does it usually take to transfer money to another country? I've made sure all the information is correct, but the transfer still says that it's ""pending.""",pending_transfer
How do I get to the virtual cards?,getting_virtual_card
Can I have a duplicate second card?,getting_spare_card
Can you help me reset my passcode? I forgot it.,passcode_forgotten
Why would a cash withdrawal be pending?,pending_cash_withdrawal
Why isn't my cash deposit showing up in my account? I deposited it this morning.,balance_not_updated_after_cheque_or_cash_deposit
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,pending_cash_withdrawal
I transfered my balance a while back.  Why doesn't my account reflect this?,balance_not_updated_after_bank_transfer
What businesses accept this card?,card_acceptance
I need to see where my money came from.,verify_source_of_funds
"Change of location, need to change details",edit_personal_details
My beneficiary is unable to transact,beneficiary_not_allowed
I thought transfers were free. Why was I charged to transfer?,transfer_fee_charged
It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate
I made a purchase with my card and I was charged a fee for using it,card_payment_fee_charged
How can I exchange currencies in the app?,exchange_via_app
Can you tell me how to top up on my card?,topping_up_by_card
Please tell me how I can receive a physical card,order_physical_card
What do I do if the ATM took my card?,card_swallowed
How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,cash_withdrawal_charge
"I tried to withdraw cash and got declined, why is that?",declined_cash_withdrawal
Can I set it up to add money every few days automatically while I am traveling?,automatic_top_up
How long does it take for a transfer to post,balance_not_updated_after_bank_transfer
How long do you have to wait to see your virtual card your ordered?,getting_virtual_card
Is it possible to do auto top up?,automatic_top_up
My friend says he hasn't received my transaction,transfer_not_received_by_recipient
How can my friends top up my account?,topping_up_by_card
Can someone else use my account if they have my phone?  I lost mine.,lost_or_stolen_phone
Please provide me a list of ATMs that accept my card.,atm_support
How can I check to see where my funds come from?,verify_source_of_funds
are SWIFT transfers an option?,top_up_by_bank_transfer_charge
"I was under the impression that you offer crypto top up; however,  it doesn't appear to be working. The money has now disappeared from my account so I need to know what the deal is?",top_up_reverted
can i go into my app to find my pin,get_physical_card
"My salary is received in the form of GBP. Is it necessary to configure this? If so, where is this done?",receiving_money
A wrong amount of cash we sent to me.,wrong_amount_of_cash_received
How long does a transfer transaction take?,transfer_timing
Please let me know what currency I can use to top up my account?,supported_cards_and_currencies
If I make a mistake can I cancel the transaction?,cancel_transfer
"I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card.",card_payment_not_recognised
How do I cancel a purchase?,request_refund
Can you give me info about what to do when my card expires?,card_about_to_expire
How do I transfer funds if I am paid in GBP?,receiving_money
I need help proving that this is really me and to verify my identity.,unable_to_verify_identity
What is the top-up limit on my cards?,top_up_limits
Is there a reason my new card hasn't arrived yet?,card_arrival
"I want to top up by using a credit card, which ones do you support?",supported_cards_and_currencies
what documents do i need to verify who i am,verify_my_identity
One of my card payments has reverted,reverted_card_payment?
"My transfer failed, why did that happen?",failed_transfer
WHAT IS THE MAIN REASON OF THIS PROBLEM,card_not_working
Transfers from the US how long will the wait be?,transfer_timing
I need to get some Euros for my holiday. Am I able to exchange some of my money?,exchange_via_app
My money is nowhere to be found? I talked up earlier and seen it. Now it has vanished. What is going on?,top_up_reverted
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",pending_cash_withdrawal
"I put money into my account in the form of a cheque, but my balance did not change.",balance_not_updated_after_cheque_or_cash_deposit
"Why am I being charged for ATM cash withdrawals? The only reason I use it is because it's been free! Now you expect me to pay for them, and how much is that going to cost me?",cash_withdrawal_charge
"There must have been a mistake, why was I charged an extra pound?",extra_charge_on_statement
I don't want to use this method to identify myself.,why_verify_identity
"My card has been declined by two separate ATM, and I'm worried something is wrong with my account. Would you please see if my account is okay?",declined_cash_withdrawal
What do I need to do to request cash back? The ATM actually just gave me the wrong amount. The app I actually chose the right amount.,wrong_amount_of_cash_received
I didn't know I was going to get charged to use my card.,card_payment_fee_charged
Set a new PIN please.,change_pin
My transaction went through but I was charged a fee. Why?,transfer_fee_charged
How can I pay for top-ups?,supported_cards_and_currencies
"My top-up hasn't gone through, what happened?",top_up_failed
"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",cash_withdrawal_not_recognised
What is the price for a physical card?,order_physical_card
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",card_payment_wrong_exchange_rate
How do you top-up using cash?,top_up_by_cash_or_cheque
I wasn't applied the correct exchange rate when getting cash,wrong_exchange_rate_for_cash_withdrawal
There is not a refund in my statement.,refund_not_showing_up
what are your exchange rates at?,exchange_rate
"Can I add other people to my account, so they can top up?",topping_up_by_card
is there a fee for swift transfer,top_up_by_bank_transfer_charge
When I was drunk I got my card stuck in your machine because i mis-typed my PIN. What do I need to do to get it restored?,pin_blocked
I believe you charged me too much to exchange my money,card_payment_wrong_exchange_rate
How do I deposit cash?,top_up_by_cash_or_cheque
Can I make transfers before my identity verification?,why_verify_identity
I bought something with my card and I was charged a fee,card_payment_fee_charged
I am not able to prove my identity,unable_to_verify_identity
I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money?,direct_debit_payment_not_recognised
Is there a limit to my top-up?,top_up_limits
I will not be able to verify my identity.,unable_to_verify_identity
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,pending_cash_withdrawal
to cash withdrawals charge me?,cash_withdrawal_charge
"I want a Mastercard, instead.",visa_or_mastercard
Can you tell me why I haven't received my new card yet?,card_arrival
I think my card has been compromised in some way.,compromised_card
Some cash was missing at ATM.,wrong_amount_of_cash_received
I had to pay a fee when buying items with my card.,card_payment_fee_charged
"I sent a cheque to you a few days ago and the deposit has yet to appear in my account. I need this money, what is the problem?",balance_not_updated_after_cheque_or_cash_deposit
Delete my account now please.,terminate_account
I anticipate getting a Visa card,visa_or_mastercard
Do you have any age limit?,age_limit
I think I forgot my passcode,passcode_forgotten
Transfer was declined.,declined_transfer
Where did the money I deposit go??,balance_not_updated_after_cheque_or_cash_deposit
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,pending_cash_withdrawal
Please inform me how to get a new card as mine is about to expire.,card_about_to_expire
Can you please explain how bank transfers work?,transfer_into_account
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,cancel_transfer
How long does it take for cards to be delivered after ordering them?,card_delivery_estimate
I placed my order a week ago. Is it ok that my card isn't here yet?,card_delivery_estimate
Can I reset my PIN if it is blocked?,pin_blocked
Can you help me with proving my identity?,unable_to_verify_identity
Why am I being asked to verify my identity?,why_verify_identity
I had trouble with an incorrect rate being applied when using the ATM with foreign currency.,wrong_exchange_rate_for_cash_withdrawal
You've incorrectly calculated the exchange rate for my cash withdrawal,wrong_exchange_rate_for_cash_withdrawal
When are you going to transfer the money?,transfer_not_received_by_recipient
Is it possible for me to track the card is was mailed to me?,card_arrival
What do I do if my PIN was blocked?,pin_blocked
How long before I can see that my cash withdrawal has taken place?,pending_cash_withdrawal
My card will not work,card_not_working
I have a duplicate payment on my account,transaction_charged_twice
Where do I look for cash top up?,top_up_by_cash_or_cheque
Is there a limit on disposable cards?,disposable_card_limits
How long do transfers take to show up in my account?,balance_not_updated_after_bank_transfer
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate
"Soon my card will expire, how do I get a new one?",card_about_to_expire
Do I get charged for withdrawals?,cash_withdrawal_charge
"Hi, I have been transferring money to my friends since morning, but all my transactions were getting failed. Can you please look into this issue.",failed_transfer
Why hasn't my transfer gone through,failed_transfer
how soon will my card arrive?,card_delivery_estimate
"Is there a fee for making a payment? If so, let me know why.",card_payment_fee_charged
Can you tell me if there are limits to disposable virtual cards?,disposable_card_limits
What are the age limits for your service?,age_limit
how long should i wait ti activate my card,activate_my_card
Is there anywhere  In the  Eu  this card can not be delivered in,country_support
When will my deposit post to my account?,balance_not_updated_after_cheque_or_cash_deposit
My statement does not reflect that a refund has been issued,refund_not_showing_up
I think my top-up has failed.,top_up_failed
I'm confused. My contactless is suddenly not working anywhere that I try to use it. How do I fix it?,contactless_not_working
I had a decline on my card. Why?,declined_card_payment
Could you tell me why my cash withdrawal was declined?,declined_cash_withdrawal
My daughter would like a card from my account?  Can I do this?,getting_spare_card
I can't find my phone and I'm worried someone is going to use it,lost_or_stolen_phone
I need to exchange some foreign currency. What's the charge for doing that?,exchange_charge
How do I request a disposable virtual card?,get_disposable_virtual_card
Where is my recent refund in the my statement?,refund_not_showing_up
Do you accept cheques for top ups?,top_up_by_cash_or_cheque
"I lost my phone, what should I do?",lost_or_stolen_phone
Card delivery services? Where?,order_physical_card
Are there specific ATM's that I can draw money from?,atm_support
where do i find out about exchange fees,exchange_charge
"My details need to be changed, how can I do so?",edit_personal_details
How do I change my currency to another?,exchange_via_app
I don't think the exchange rate was right.,wrong_exchange_rate_for_cash_withdrawal
"I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out?",cash_withdrawal_not_recognised
I just looked over my statement and I don't recognize the name of a card payment.,card_payment_not_recognised
Are there charges for cash withdrawals?,cash_withdrawal_charge
Will you charge an extra fee for top ups?,top_up_by_card_charge
how to i go about getting my virtual card,getting_virtual_card
Where's the money I transferred into my account?,balance_not_updated_after_bank_transfer
"I made a big purchase that I regretted and cancelled, the merchant said that my refund was submitted. Can you confirm to me that all of my money was truly returned to me?",refund_not_showing_up
I am noticing that a refund of a large purchase still has not been credited to my account. I contacted the merchant a few days ago and he assured me that he would submit it right away. Is there a status update?,refund_not_showing_up
I am very dissatisfied with the services that you are providing.  I want to cancel my account.,terminate_account
There is a transfer not showing on my account.,balance_not_updated_after_bank_transfer
Where are you cards supported?,country_support
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",extra_charge_on_statement
Can someone in the US have a card?,country_support
I can't get google pay to work right.,apple_pay_or_google_pay
For some reason I forgot the passcode I have.,passcode_forgotten
I don't want to verify my identity,why_verify_identity
I have a transfer that was approved that I'm urgently waiting for. How long am I supposed to wait for it?,pending_transfer
Please list what fiat currencies are supported for both holding and exchanging.,fiat_currency_support
"I reside in the US, but I want a card.",country_support
"I've got a problem - I purchased an item maybe a week or two ago, but to the payment came back to my account! I've already got what I ordered, so why are the payment funds showing up in my account?",reverted_card_payment?
Help! In the app there is a payment that I don't remember.,card_payment_not_recognised
How many cards am I allowed?,getting_spare_card
I got cash abroad and the exchange rate applied is wrong,wrong_exchange_rate_for_cash_withdrawal
What is the $1 transaction on my account?,extra_charge_on_statement
The payment on my card shows as pending.,pending_card_payment
The atm didn'y give me all the cash,wrong_amount_of_cash_received
I want to change the wrong exchange rate.,card_payment_wrong_exchange_rate
"I topped up recently and saw the money go through, but now it's just gone? What's going on",top_up_reverted
I tried to make a transfer like five different times. Why won't your system let me? Is it broke?,failed_transfer
In my account I noticed my ATM withdrawal is still pending,pending_cash_withdrawal
Is there an issue with my card payment as it has not gone through.,declined_card_payment
I have forgotten my passcode,passcode_forgotten
"Why is my transfer not working? I tried multiple times to transfer money, and all that happens is an error message pops up.",beneficiary_not_allowed
Where can I order a card?,order_physical_card
Why won't my card accept any transactions?,card_not_working
I can't see all the refunds in my statement,refund_not_showing_up
My transfer has been declined.,declined_transfer
"Can you help me with my card, I think it's broke.",card_not_working
I've tried completing a very standard transfer and have already attempted it 5 times. What's going on here? Is there a problem with your system?,failed_transfer
Can I deposit money using Apple Pay?,apple_pay_or_google_pay
I tried to top up but the app rejected it.,top_up_failed
Can you tell me how long it takes for a new card to come?,card_delivery_estimate
I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more?,compromised_card
Does it cost anything to transfer money for a top-up?,top_up_by_bank_transfer_charge
Can you tell me why my transfer is pending still?,pending_transfer
I was charged a fee with my cash withdrawal that I shouldn't have been charged.,cash_withdrawal_charge
Why isn't my id verified?,unable_to_verify_identity
"While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain?",change_pin
how to change name on account,edit_personal_details
How come my card payment is still pending?,pending_card_payment
Whats the minimum age to have an account,age_limit
I got charged a fee that shouldn't be there from my cash,cash_withdrawal_charge
What is the refund policy?,request_refund
Are there going to be fees from adding money with an international card?,top_up_by_card_charge
Why was I not allowed to do a transfer to a beneficiary?,beneficiary_not_allowed
Why is my top-up pending?,pending_top_up
I've forgotten my app passcode completely.,passcode_forgotten
It's been a week since I ordered my card and it's not here. Please help?,card_arrival
Why am I seeing a transfer fee on my bank statement?,transfer_fee_charged
Do I need to verify the top-up?,verify_top_up
"I'm interested in holding and exchange for flat currencies, what do you support?",fiat_currency_support
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,card_payment_not_recognised
A transaction on my card shows as pending.,pending_card_payment
where can I see who sent me funds,verify_source_of_funds
how do i see what i transferred,balance_not_updated_after_bank_transfer
What countries are you available in?,country_support
How much longer do I have to wait until my transaction is complete? I transferred money to another country many hours ago and the transaction is still pending.,pending_transfer
How do you find the exchange rate?,exchange_rate
Show me how to look at the source of my current funds?,verify_source_of_funds
Why is my transfer taking so long to complete?,transfer_not_received_by_recipient
Is there a reason my refund isn't showing on my statement?,refund_not_showing_up
Why is my top-up showing as cancelled?,top_up_reverted
Why did my card payment get declined?,declined_card_payment
what cards and currencies are accepted?,supported_cards_and_currencies
How do I get my card into the app?,card_linking
What should I do if I think that someone might be using me card?,compromised_card
Hey I thought transfers were free.  Why are you charging me?,transfer_fee_charged
Where can I find my card PIN?,get_physical_card
Why is my transfer more expensive than I thought?,transfer_fee_charged
"How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently?",transfer_timing
"I am seeing in the app, some cash witdhrawals that I did not authorize.",cash_withdrawal_not_recognised
"I had everything lined up to make a transfer, and then it rejected it.",declined_transfer
Help me activate my new card.,activate_my_card
Why hasn't my account updated?,balance_not_updated_after_cheque_or_cash_deposit
Please tell me which fiat currencies you support.,fiat_currency_support
Can turn my money into another currency?,exchange_via_app
What areas are cards delivered to?,order_physical_card
There is a strange card payment I don't recognise.,card_payment_not_recognised
Where are cards available to order?,order_physical_card
When can I expect my new card to get here?,card_delivery_estimate
Is the exchange rate the same on weekends as the weekdays?,exchange_rate
"The company is no good, please terminate my account.",terminate_account
Are there restrictions on disposable virtual cards?,disposable_card_limits
how do i set up my apple pay watch to connect to my account,apple_pay_or_google_pay
Can I order a new card to China?,card_about_to_expire
Can I use my account although my identity verification has yet to pass?,why_verify_identity
How do I receive a disposable virtual card?,get_disposable_virtual_card
My top up hasn't gone through,pending_top_up
In what increments can I top-up my card?,automatic_top_up
"Do you hold money and if so, what currencies do you accept?",fiat_currency_support
"How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet.",pending_transfer
How can I exchange to EUR?,fiat_currency_support
"Some cash was withdrawn in the app, but I did not do it.",cash_withdrawal_not_recognised
i dont recognize a charge on my card,card_payment_not_recognised
What businesses can I use this card with?,card_acceptance
How do I get unblocked?,pin_blocked
"My payment was put back, I think.",reverted_card_payment?
Can I order a card?,order_physical_card
"Someone has a copy of my card !! I definitely still have it here but someone just made a 500£ cash withdrawal, HELP!",cash_withdrawal_not_recognised
"I tried to top up, but it didn't finish.",pending_top_up
Yikes!  I didn't get the amount of money that I requested.  What do I do now?,wrong_amount_of_cash_received
would I need to pay extra for exchanging currencies?,exchange_charge
I don't understand why my payment was declined. I thought everything was ok.,declined_card_payment
"I have not received my card and it's been a week, what do I do?",card_arrival
Can I wait for you to send me a new card when mine's about to expire?,card_about_to_expire
My card payment has been cancelled,reverted_card_payment?
What are you exchange rates?,exchange_rate
My card hasn't shown up yet.,card_arrival
I did not make a direct debit payment as listed on my app,direct_debit_payment_not_recognised
How can i get new card?,contactless_not_working
Can I use my Apple Watch to pay for gas?,apple_pay_or_google_pay
I need more assistance with how to activate my card.,activate_my_card
"Hi! A seller that I requested a refund from a long time ago has yet to send the money into my account, even though I keep checking it. Can the seller be contacted by you guys to see what's going on?",refund_not_showing_up
I want to get a refund.,request_refund
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate
why didnt a transfer to my account process,beneficiary_not_allowed
How can I find the source for my available funds and money?,verify_source_of_funds
